Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","112","Bélarus","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2020","2020","Int$/cap","26731.5","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","112","Bélarus","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2021","2021","Int$/cap","27611.2","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","112","Bélarus","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","2022","Int$/cap","26526.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","056","Belgique","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","Int$/cap","60843.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","056","Belgique","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2019","2019","Int$/cap","61871.7","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","056","Belgique","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2020","2020","Int$/cap","58364.7","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","056","Belgique","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2021","2021","Int$/cap","62107.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","056","Belgique","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","2022","Int$/cap","63431","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","084","Belize","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","Int$/cap","11419.9","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","084","Belize","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2019","2019","Int$/cap","11688.7","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","084","Belize","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2020","2020","Int$/cap","9934.9","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","084","Belize","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2021","2021","Int$/cap","11559.9","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","084","Belize","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","2022","Int$/cap","12407","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","204","Bénin","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","Int$/cap","3272.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","204","Bénin","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2019","2019","Int$/cap","3397.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","204","Bénin","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2020","2020","Int$/cap","3429.9","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","204","Bénin","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2021","2021","Int$/cap","3575.3","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","204","Bénin","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","2022","Int$/cap","3697.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","060","Bermudes","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","Int$/cap","94831.5","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","060","Bermudes","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2019","2019","Int$/cap","95132.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","060","Bermudes","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2020","2020","Int$/cap","88652.3","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","060","Bermudes","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2021","2021","Int$/cap","91508.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","060","Bermudes","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","2022","Int$/cap","94531.3","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","064","Bhoutan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","Int$/cap","13812.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","064","Bhoutan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2019","2019","Int$/cap","14505.2","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","064","Bhoutan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2020","2020","Int$/cap","12937.9","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","064","Bhoutan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2021","2021","Int$/cap","13423.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","068","Bolivie (État plurinational de)","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","Int$/cap","9823","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","068","Bolivie (État plurinational de)","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2019","2019","Int$/cap","9895.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","068","Bolivie (État plurinational de)","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2020","2020","Int$/cap","8910.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","068","Bolivie (État plurinational de)","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2021","2021","Int$/cap","9343","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","068","Bolivie (État plurinational de)","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","2022","Int$/cap","9565.3","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","070","Bosnie-Herzégovine","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","Int$/cap","16499.7","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","070","Bosnie-Herzégovine","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2019","2019","Int$/cap","17175.2","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","070","Bosnie-Herzégovine","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2020","2020","Int$/cap","16869.7","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","070","Bosnie-Herzégovine","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2021","2021","Int$/cap","18379.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","070","Bosnie-Herzégovine","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","2022","Int$/cap","19355.7","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","072","Botswana","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","Int$/cap","16712.9","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","072","Botswana","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2019","2019","Int$/cap","16887","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","072","Botswana","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2020","2020","Int$/cap","15130.3","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","072","Botswana","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2021","2021","Int$/cap","16651.5","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","072","Botswana","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2022","2022","Int$/cap","17334.9","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","076","Brésil","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2018","2018","Int$/cap","17313.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","076","Brésil","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2019","2019","Int$/cap","17390.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","076","Brésil","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2020","2020","Int$/cap","16709.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","076","Brésil","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2021","2021","Int$/cap","17450.5","X","Ciffre de sources internationales",""
